GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1500000US040130405221,040130405221,"Block Group 1, Census Tract 405.22, Maricopa County, Arizona",1771,763,0,0,1,2,0,0,0,0,5,1,2,6,4,4,21,10,38,38,59,151,195,161,65,1008,0,1,3,2,0,0,0,0,1,0,3,3,6,10,38,43,64,61,117,202,208,154,92
1500000US040130405222,040130405222,"Block Group 2, Census Tract 405.22, Maricopa County, Arizona",1310,602,1,0,0,0,0,1,0,1,2,1,3,2,1,8,13,9,28,26,60,145,160,104,37,708,1,1,0,0,0,0,0,0,1,2,0,4,2,8,24,24,60,40,95,154,159,93,40
1500000US040130405223,040130405223,"Block Group 3, Census Tract 405.22, Maricopa County, Arizona",1100,499,1,1,0,0,1,0,0,0,0,0,1,1,1,7,10,3,19,16,38,99,136,113,52,601,0,1,0,1,2,0,0,0,1,0,0,2,4,6,12,20,34,24,62,150,135,105,42
1500000US040130405231,040130405231,"Block Group 1, Census Tract 405.23, Maricopa County, Arizona",3300,1566,9,11,3,3,0,0,1,2,13,17,9,11,17,44,115,92,210,118,201,271,208,132,79,1734,10,6,7,5,6,0,1,5,15,13,12,15,29,78,217,131,222,144,195,251,176,128,68
1500000US040130405241,040130405241,"Block Group 1, Census Tract 405.24, Maricopa County, Arizona",828,392,0,0,1,0,0,0,0,0,2,0,2,3,5,8,30,26,62,40,54,84,49,19,7,436,0,0,1,0,0,0,0,0,2,2,1,3,8,17,55,44,77,42,56,78,33,10,7
1500000US040130405242,040130405242,"Block Group 2, Census Tract 405.24, Maricopa County, Arizona",646,304,1,0,0,0,0,0,0,1,1,1,4,0,5,6,31,11,49,38,57,54,23,14,8,342,1,1,0,0,0,0,0,2,3,1,1,2,0,21,46,38,56,39,47,44,20,14,6
1500000US040130405251,040130405251,"Block Group 1, Census Tract 405.25, Maricopa County, Arizona",554,255,0,0,0,0,0,0,0,0,2,0,0,0,2,5,11,20,35,31,45,57,27,17,3,299,0,0,0,0,0,0,0,1,0,0,0,2,2,13,24,11,66,46,47,46,18,15,8
1500000US040130405252,040130405252,"Block Group 2, Census Tract 405.25, Maricopa County, Arizona",463,217,0,0,0,0,0,0,0,0,0,2,0,0,1,1,13,11,34,26,43,51,17,12,6,246,0,0,0,0,0,0,0,0,1,0,2,1,4,13,23,15,42,27,46,41,16,10,5
1500000US040130405253,040130405253,"Block Group 3, Census Tract 405.25, Maricopa County, Arizona",534,251,0,0,0,0,0,0,0,0,0,3,0,2,1,5,13,12,32,20,37,74,34,12,6,283,0,0,1,2,0,0,1,1,2,0,1,1,1,6,28,20,56,28,50,49,23,10,3
1500000US040130405254,040130405254,"Block Group 4, Census Tract 405.25, Maricopa County, Arizona",537,242,0,0,0,0,0,0,0,0,0,1,0,1,3,5,16,10,36,32,45,50,25,12,6,295,0,0,0,0,0,0,0,0,1,0,0,3,1,12,37,21,53,34,48,53,17,8,7
1500000US040130405255,040130405255,"Block Group 5, Census Tract 405.25, Maricopa County, Arizona",563,274,0,0,0,0,0,0,0,1,1,1,0,2,5,5,11,15,32,34,59,64,28,9,7,289,0,0,0,0,0,0,0,0,1,0,0,0,5,11,39,23,43,33,56,40,25,10,3
1500000US040130405256,040130405256,"Block Group 6, Census Tract 405.25, Maricopa County, Arizona",395,193,0,0,0,0,0,0,0,0,1,1,1,1,0,6,12,11,32,17,27,43,25,13,3,202,0,0,0,0,0,0,0,2,0,0,1,0,3,7,17,17,35,21,39,36,16,5,3
1500000US040130405261,040130405261,"Block Group 1, Census Tract 405.26, Maricopa County, Arizona",1144,535,0,0,0,0,1,0,0,0,1,1,4,5,5,5,22,26,49,38,91,127,91,49,20,609,1,2,0,0,2,0,0,0,0,1,1,2,5,7,50,31,78,56,101,138,76,40,18
1500000US040130405262,040130405262,"Block Group 2, Census Tract 405.26, Maricopa County, Arizona",325,154,0,0,0,0,0,0,0,0,1,0,1,0,2,2,4,13,15,13,19,47,22,13,2,171,0,0,1,0,0,0,0,0,0,2,0,1,0,2,18,9,26,19,26,32,22,9,4
1500000US040130405263,040130405263,"Block Group 3, Census Tract 405.26, Maricopa County, Arizona",896,413,0,0,0,0,0,0,0,0,0,2,0,3,10,3,12,20,43,38,64,100,78,29,11,483,0,0,0,0,0,1,0,0,2,1,0,2,3,9,44,35,61,41,75,112,57,24,16
1500000US040130405271,040130405271,"Block Group 1, Census Tract 405.27, Maricopa County, Arizona",576,261,0,1,0,0,0,0,0,0,0,0,0,2,0,2,5,0,21,22,29,75,58,30,16,315,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,26,25,49,86,55,34,15
1500000US040130405272,040130405272,"Block Group 2, Census Tract 405.27, Maricopa County, Arizona",1013,471,0,0,0,0,0,0,0,1,1,0,1,0,2,2,14,9,40,36,64,130,95,52,24,542,0,0,0,0,0,0,0,2,0,0,0,2,0,7,24,14,59,56,73,133,86,59,27
1500000US040130405273,040130405273,"Block Group 3, Census Tract 405.27, Maricopa County, Arizona",2595,1293,120,135,113,57,30,19,7,26,51,116,140,97,69,59,70,21,46,31,23,33,21,3,6,1302,110,111,109,70,27,11,4,33,78,114,131,99,62,70,86,30,46,15,24,27,20,9,16
1500000US040130405281,040130405281,"Block Group 1, Census Tract 405.28, Maricopa County, Arizona",946,445,0,1,0,1,0,0,0,1,1,2,0,4,0,9,11,17,36,36,57,116,81,54,18,501,1,1,0,0,0,0,0,1,0,5,1,4,2,9,35,25,38,54,69,117,76,43,20
1500000US040130405282,040130405282,"Block Group 2, Census Tract 405.28, Maricopa County, Arizona",956,446,0,0,0,0,0,0,0,1,1,0,1,4,6,3,11,14,33,31,60,119,99,43,20,510,0,0,0,0,0,0,0,0,0,0,0,0,2,3,31,26,56,44,91,128,74,35,20
1500000US040130405283,040130405283,"Block Group 3, Census Tract 405.28, Maricopa County, Arizona",790,368,0,1,0,0,0,0,0,0,1,1,0,2,2,5,9,13,35,31,46,89,81,31,21,422,0,0,0,0,0,0,0,0,0,1,2,0,3,8,25,23,44,38,77,87,67,29,18
1500000US040130405284,040130405284,"Block Group 4, Census Tract 405.28, Maricopa County, Arizona",821,380,0,0,0,0,1,0,0,1,0,0,1,1,3,1,8,4,30,30,44,112,78,44,22,441,1,0,0,0,0,0,0,0,0,0,0,1,1,3,19,23,48,40,73,101,70,39,22
1500000US040130405285,040130405285,"Block Group 5, Census Tract 405.28, Maricopa County, Arizona",1330,613,0,0,0,0,0,1,0,0,1,1,2,1,9,7,13,24,61,46,110,156,111,57,13,717,1,1,0,0,0,0,0,0,0,3,2,1,12,18,54,47,81,71,110,145,100,44,27
1500000US040130405286,040130405286,"Block Group 6, Census Tract 405.28, Maricopa County, Arizona",1369,638,0,0,0,0,0,0,0,0,2,1,2,5,0,2,23,25,67,63,106,157,114,49,22,731,1,0,1,1,2,0,0,0,0,1,1,5,9,20,58,52,102,79,123,163,71,25,17
