GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004
Id,Id2,Geography,Total population in occupied housing units:,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
1500000US040130610203,040130610203,"Block Group 3, Census Tract 610.20, Maricopa County, Arizona",1607,1181,71,355
1500000US040130610211,040130610211,"Block Group 1, Census Tract 610.21, Maricopa County, Arizona",1753,1218,68,467
1500000US040130610221,040130610221,"Block Group 1, Census Tract 610.22, Maricopa County, Arizona",2910,2343,118,449
1500000US040130610222,040130610222,"Block Group 2, Census Tract 610.22, Maricopa County, Arizona",3422,2360,107,955
1500000US040130610223,040130610223,"Block Group 3, Census Tract 610.22, Maricopa County, Arizona",2537,1076,65,1396
1500000US040130610231,040130610231,"Block Group 1, Census Tract 610.23, Maricopa County, Arizona",2667,1878,129,660
1500000US040130610232,040130610232,"Block Group 2, Census Tract 610.23, Maricopa County, Arizona",1710,1483,90,137
1500000US040130610233,040130610233,"Block Group 3, Census Tract 610.23, Maricopa County, Arizona",2103,1472,74,557
1500000US040130610234,040130610234,"Block Group 4, Census Tract 610.23, Maricopa County, Arizona",2720,2033,77,610
1500000US040130610241,040130610241,"Block Group 1, Census Tract 610.24, Maricopa County, Arizona",2032,1306,123,603
1500000US040130610251,040130610251,"Block Group 1, Census Tract 610.25, Maricopa County, Arizona",1878,1676,66,136
1500000US040130610252,040130610252,"Block Group 2, Census Tract 610.25, Maricopa County, Arizona",2285,1730,93,462
1500000US040130610253,040130610253,"Block Group 3, Census Tract 610.25, Maricopa County, Arizona",3278,2200,165,913
1500000US040130610261,040130610261,"Block Group 1, Census Tract 610.26, Maricopa County, Arizona",3104,1945,92,1067
1500000US040130610262,040130610262,"Block Group 2, Census Tract 610.26, Maricopa County, Arizona",2331,1593,88,650
1500000US040130610271,040130610271,"Block Group 1, Census Tract 610.27, Maricopa County, Arizona",1177,821,47,309
1500000US040130610272,040130610272,"Block Group 2, Census Tract 610.27, Maricopa County, Arizona",1199,847,62,290
1500000US040130610273,040130610273,"Block Group 3, Census Tract 610.27, Maricopa County, Arizona",1529,1168,71,290
1500000US040130610274,040130610274,"Block Group 4, Census Tract 610.27, Maricopa County, Arizona",1105,380,26,699
1500000US040130610275,040130610275,"Block Group 5, Census Tract 610.27, Maricopa County, Arizona",529,346,17,166
1500000US040130610281,040130610281,"Block Group 1, Census Tract 610.28, Maricopa County, Arizona",2408,1233,81,1094
1500000US040130610291,040130610291,"Block Group 1, Census Tract 610.29, Maricopa County, Arizona",1409,545,42,822
1500000US040130610292,040130610292,"Block Group 2, Census Tract 610.29, Maricopa County, Arizona",920,617,28,275
1500000US040130610293,040130610293,"Block Group 3, Census Tract 610.29, Maricopa County, Arizona",1443,855,59,529
1500000US040130610294,040130610294,"Block Group 4, Census Tract 610.29, Maricopa County, Arizona",1097,823,62,212
1500000US040130610301,040130610301,"Block Group 1, Census Tract 610.30, Maricopa County, Arizona",2202,1713,110,379
1500000US040130610302,040130610302,"Block Group 2, Census Tract 610.30, Maricopa County, Arizona",2130,1525,86,519
1500000US040130610303,040130610303,"Block Group 3, Census Tract 610.30, Maricopa County, Arizona",2925,1870,100,955
1500000US040130610311,040130610311,"Block Group 1, Census Tract 610.31, Maricopa County, Arizona",3315,2391,234,690
1500000US040130610321,040130610321,"Block Group 1, Census Tract 610.32, Maricopa County, Arizona",1837,1304,47,486
1500000US040130610322,040130610322,"Block Group 2, Census Tract 610.32, Maricopa County, Arizona",1912,1350,60,502
1500000US040130610323,040130610323,"Block Group 3, Census Tract 610.32, Maricopa County, Arizona",777,490,32,255
1500000US040130610324,040130610324,"Block Group 4, Census Tract 610.32, Maricopa County, Arizona",1053,793,17,243
1500000US040130610331,040130610331,"Block Group 1, Census Tract 610.33, Maricopa County, Arizona",1876,1226,61,589
1500000US040130610332,040130610332,"Block Group 2, Census Tract 610.33, Maricopa County, Arizona",2142,1468,82,592
1500000US040130610333,040130610333,"Block Group 3, Census Tract 610.33, Maricopa County, Arizona",1983,1133,50,800
1500000US040130610341,040130610341,"Block Group 1, Census Tract 610.34, Maricopa County, Arizona",2048,1629,48,371
1500000US040130610342,040130610342,"Block Group 2, Census Tract 610.34, Maricopa County, Arizona",1473,929,69,475
1500000US040130610343,040130610343,"Block Group 3, Census Tract 610.34, Maricopa County, Arizona",2293,1023,69,1201
1500000US040130610344,040130610344,"Block Group 4, Census Tract 610.34, Maricopa County, Arizona",927,663,37,227
1500000US040130610351,040130610351,"Block Group 1, Census Tract 610.35, Maricopa County, Arizona",1750,1194,87,469
1500000US040130610352,040130610352,"Block Group 2, Census Tract 610.35, Maricopa County, Arizona",1440,955,47,438
1500000US040130610353,040130610353,"Block Group 3, Census Tract 610.35, Maricopa County, Arizona",1880,1262,137,481
1500000US040130610354,040130610354,"Block Group 4, Census Tract 610.35, Maricopa County, Arizona",1607,1068,38,501
1500000US040130610361,040130610361,"Block Group 1, Census Tract 610.36, Maricopa County, Arizona",458,401,13,44
1500000US040130610362,040130610362,"Block Group 2, Census Tract 610.36, Maricopa County, Arizona",2026,1481,97,448
1500000US040130610371,040130610371,"Block Group 1, Census Tract 610.37, Maricopa County, Arizona",1784,1221,102,461
1500000US040130610372,040130610372,"Block Group 2, Census Tract 610.37, Maricopa County, Arizona",2159,1563,51,545
1500000US040130610381,040130610381,"Block Group 1, Census Tract 610.38, Maricopa County, Arizona",1528,955,41,532
1500000US040130610382,040130610382,"Block Group 2, Census Tract 610.38, Maricopa County, Arizona",1397,1048,30,319
1500000US040130610383,040130610383,"Block Group 3, Census Tract 610.38, Maricopa County, Arizona",1594,1190,53,351
1500000US040130610391,040130610391,"Block Group 1, Census Tract 610.39, Maricopa County, Arizona",2157,1708,67,382
1500000US040130610392,040130610392,"Block Group 2, Census Tract 610.39, Maricopa County, Arizona",585,526,39,20
1500000US040130610393,040130610393,"Block Group 3, Census Tract 610.39, Maricopa County, Arizona",950,713,35,202
1500000US040130610401,040130610401,"Block Group 1, Census Tract 610.40, Maricopa County, Arizona",1456,981,48,427
1500000US040130610402,040130610402,"Block Group 2, Census Tract 610.40, Maricopa County, Arizona",875,573,40,262
1500000US040130610403,040130610403,"Block Group 3, Census Tract 610.40, Maricopa County, Arizona",1598,1154,51,393
1500000US040130610411,040130610411,"Block Group 1, Census Tract 610.41, Maricopa County, Arizona",873,576,24,273
1500000US040130610412,040130610412,"Block Group 2, Census Tract 610.41, Maricopa County, Arizona",1158,808,27,323
1500000US040130610413,040130610413,"Block Group 3, Census Tract 610.41, Maricopa County, Arizona",1579,1007,53,519
1500000US040130610414,040130610414,"Block Group 4, Census Tract 610.41, Maricopa County, Arizona",709,466,14,229
1500000US040130610421,040130610421,"Block Group 1, Census Tract 610.42, Maricopa County, Arizona",188,82,103,3
1500000US040130610422,040130610422,"Block Group 2, Census Tract 610.42, Maricopa County, Arizona",329,69,237,23
1500000US040130610423,040130610423,"Block Group 3, Census Tract 610.42, Maricopa County, Arizona",270,76,181,13
1500000US040130610424,040130610424,"Block Group 4, Census Tract 610.42, Maricopa County, Arizona",1333,837,17,479
1500000US040130610431,040130610431,"Block Group 1, Census Tract 610.43, Maricopa County, Arizona",1281,846,40,395
1500000US040130610432,040130610432,"Block Group 2, Census Tract 610.43, Maricopa County, Arizona",1164,998,56,110
1500000US040130610441,040130610441,"Block Group 1, Census Tract 610.44, Maricopa County, Arizona",1821,1550,57,214
1500000US040130610442,040130610442,"Block Group 2, Census Tract 610.44, Maricopa County, Arizona",1766,1599,26,141
1500000US040130610443,040130610443,"Block Group 3, Census Tract 610.44, Maricopa County, Arizona",1966,1568,173,225
